Name,Current Company/Employer,Past Companies,Description,Key Areas of Interest/Expertise,In what capacity do you want to help out?,Advisor Location.,Berkeley SkyDeck or Milano,id
Manuel Zanin,consulting company owner,"marketing director (Spyke technical sportswear, Mionetto Spumanti (wine), my own startups (alcohol-free drinks) - independent board member - startupper/entrepreneur since 2014 ","entrepreneur with a well-rounded international background in marketing, sales, business development, product launch. Experienced in the beverage industry, beauty and sport system","strategy, marketing, sales, internationalization, fundraising",Mentor,Europe,"SkyDeck Europe, Milano",recvQLSJu1ANKjspi
Fabio Salvalaggio,Angel Investor ,"Harbourmaster Capital Limited, Euro Capital Structures, Commerzbank, Citi",Investment Banker in Corporate Finance in New York and London at Citi; entrepreneur founder of a large European credit fund; angel investor for last 10 years.,Fintech,Advisor,Europe,"SkyDeck Europe, Milano",recvQUXkGA4wqBZiI
Michael Tippie,New Vision Biosciences,"General PartnerGeneral Partner Alignment Ventures LLC, Oregon Nanoscience and Microtechnology Institute (ONAMI), TomegaVax, Milk Street Ventures","I am a serial entrepreneur in biotech with ten senior management stints behind me, including 3 CEO slots (e.g.TomegaVax, immunotherapeutics, merged with Vir, ow a $4 BB public company).  I have also invested with three venture firms (e.g Norwest Venture Partners, a $4 BB megafund). I started my career as a medicinal chemist for Syntex/Roche.  I only work on things that save lives, and usually at the earliest stages. I am a ""seed artist"" and I cut my teeth working with Larry Bock at Avalon Ventures who did over 20 startups as the Founding CEO or investor, with a combined market cap of over $100 BB today.  Education: BA, Chemistry, Reed College; MS Chemistry, Univ of Washington; MBA from the Sloan School at MIT. Continuing education since in graduate coursework in Genomics, Proteomics, Immunology, Cell Biology and Pharmacology.","Biotech and Healthcare Related Startup Guidance, Business Management, Business Development, Business Finances and Operations, Business Strategy, Fundraising, Driving Negotiating Strength for Deals with Corporate Partners",,USA/Canada,"SkyDeck Europe, Milano",recvTGE030PazKMSZ
Sujatha Buddhe,University of Washington,Columbia Presbyterian,"Academic physician, Data science, clinical research, pediatric cardiologist",health care,Advisor,USA/Canada,Berkeley Skydeck,recvWeDwhjqz9lAFm
Matt Pru,Stackmatix,"TalentBin ($20M exit), MightyHive ($150M exit, Alchemist Class 1), Omnihours (Co-Founder, Alchemist Class 3)","15 years of startup experience. 2x Founder. 3x Accelerator Mentor (Alchemist, StartX, TechStars). 30x Angel Investor. Passionate about helping Founder cross the chasm after not being able to do so with my 1st startup founded out of undergrad. After that, I was a first 10 hire at 2 startups that exited for $20M and $150M. I was Head of Sales for the 2nd exit, MightyHive, producing $20M out of $30M in sales for the company leading to $150M acquisition. The past 5+ years since, I have been running Stackmatix which is built around helping Founders find product-market-fit, then scaling. I've been a formal advisor for about 7 startups and informally or formally mentored over 100 other startups. I've invested as an angel investor in 30 startups and have built a network of over 500 investors to make intros for Founders.","Sales, Sales Ops, Marketing (specifically Digital Advertising, Social Media, Analytics, SEO and Conversion Rate Optimization), Fundraising",Mentor,USA/Canada,Berkeley Skydeck,recvXUA8imDUWn4Uf
Allan Ng,Freenome,"Google, Livongo, Yahoo, PG&E, Common Networks","(Hope you don't mind - pasting my professional bio here): Allan Ng is the VP of Marketing for Freenome. A leader in technology marketing, Allan has demonstrated success leading both B2C and B2B teams at Fortune 500 and early stage companies.  At Livongo, he built the original Marketing team from scratch and helped grow the company's revenues more than 10X with over 250 enterprise clients in 2 short years. At Google, he was part of the founding team for Google Fiber where he led the development of the Fiber brand from its infancy to a disruptive leader in the telecom industry. Prior, Allan was Director of Global Consumer Marketing for Yahoo, where he managed the company's brand marketing activities.  Allan is an advisor and investor in early-stage companies, and serves as a Go to Market Council Advisor for Canvas Ventures. Allan holds a Bachelor of Arts in Economics and Philosophy from Columbia University and an MBA from The Haas School of Business at UC Berkeley.","Marketing and GTM for biotech, healthcare, and consumer tech",Advisor,,Berkeley Skydeck,recvXq2G1VnBRhQJU
Jimmy Jaspers,Techstars And My Own Company,Rotterdam University of Applied Sciences; Techniek College Rotterdam; Strukton; Valk Welding; And Own Companies,"I have a background in Industrial Engineering and Management Sciences, plus a lot of marketing and sales experience. Have been a founder for the past 5 years now also. Mainly expert in e-commerce, sales and marketing. At the moment moving more into venture building, acceleration, venture capital, technology, consulting. Recently been accepted into the Techstars network as a mentor also, working closely with them at the moment.",Venture Building,Advisor,Europe,Berkeley Skydeck,recvZoQHRlxJcuMh5
Smita Rajmohan,"Autodesk, Inc.,  IEEE AI Policy Committee","Apple, Inc. , Cooley LLP, Kirkland & Ellis LLP","As Senior Counsel to the VP of AI platform and Identity at Autodesk, I am heavily involved in shaping generative AI development and adoption across the company, working with research, product, marketing and sales teams.   Previously, as Hardware Product Counsel at Apple, I contributed to product launches for iPad, AirTag and AirPods.   Beyond my professional commitments, I am focused on empowering the next generation of legal and technology professionals. I do this important work as a member of the Education Advisory Board of the IAPP, and I proudly serve as the Board Chair for Mentorships at Berkeley Law School, my alma mater. I previously served as Board Director at UN Women, SF.   I also help shape industry standards on AI strategy. I sit on the AI Policy Committee of the IEEE USA which submits comments to standards bodies such as NIST shaping AI policy in the United States. I also serve on the Standards Committee for the Institute of Operational Privacy Design which seeks to define and drive adoption of privacy design standards at an international level. I will participate in the Biden-Harris US AI Safety Consortium.",Artificial Intelligence,Advisor,USA/Canada,Berkeley Skydeck,recvfLhcFWxk1yYaa
Andy Liu,OCV Partners,"Morgan Stanley, Addepar","I'm a Berkeley Haas Alum. I'm a VP at OCV Partners, $170M fund based out of LA focused on series A and series B entry points. Previously worked in tech banking at Morgan Stanley Menlo Park and GTM operator at Addepar. More of my bio at https://www.ocvpartners.com/andy-liu/","Enterprise SaaS, B2B FinTech, Real Estate Tech ",Advisor,USA/Canada,Berkeley Skydeck,recvhBAuj6dHRJnrN
Alberto Sangiovanni-Vincentelli,"UC Berkeley, Cadence",,"At UC Berkeley since 1975. Helped founding Cadence, Synopsys, Accent, UPEK. Board of Directors: Cadence, UPEK, Sonics, Accent, Value Partners. Member of Science and Technology Advisory Board, GM and of Technology Advisory Council, United Technologies.",,Advisor,Europe,"SkyDeck Europe, Milano",recvmY8dYb8jAhRal
Amy LaMeyer,WXR Fund,Akamai Technologies,"Amy LaMayer advises and invests in early-stage music, XR, AI and Web  3 companies. As Managing Partner of the WXR Fund, her portfolio consists of high impact, women-led AR, VR and AI start-ups. Amy spent the first part of her career at Akamai Technologies, enabling the growth of web 2.0 through M&A, strategic partnerships, financial analysis and engineering scale. ","start-ups, emerging technologies, DEI, fundraising",Advisor,USA/Canada,Berkeley Skydeck,recvpREnzT0OR55Q8
Leland Hedges,Pico Interactive (acquired by ByteDance),"Virtually Live, PlayStation (Sony), The Advisory Board Company",I have been working in VR for over a decade and manage the EU business for one of the largest HW companies,"VR, Gaming, Digital Media",Advisor,Europe,"SkyDeck Europe, Milano",recvrJfo67T55ZMON
Ruchi Aggarwal,BILL,"BILL, Snapdeal, Hewlett Packard, Sears Holdings","I have ~15 years of professional experience across consulting and building products for both consumers and SMBs both in US and India. I did my undergrad from IIT Delhi (2007) and Masters from Stanford University (2011). I worked for a few eCommerce companies in the Silicon Valley (Sears and Hewlett Packard) as a Product manager and also tried at my hand at my own startup (Myshopup) focussed on social commerce.  I joined Bill.com (a Fintech, B2B Payments company in the US) as a product manager before its IPO. I led BILL’s Payments Platform & Cross-Border payments business and grew it to a $100M / yr business in the last 6 years which significantly helped the company in its successful IPO in 2019. I also experienced a few acquisitions by the company and was part of integrations team responsible to bring greater combined value for the customers and business. I learnt a ton from my BILL experience across various aspects of running a business from taking a product to market, creating customer value and scaling it! ","Product Market Fit, Customer discovery, Value proposition, Competitive Analysis, Go to market, Partnership Strategy",Advisor,USA/Canada,Berkeley Skydeck,recw2yw416zNi6tVS
